order,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,saleprice,houseage,remodage,totalsf,totalbath,hasgarage,hasbasement,hasfireplace
11,527163010,60,RL,75.0,10000,Pave,NoFeature,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,NoMasVnr,0.0,3,3,PConc,4,3,No,Unf,0.0,Unf,0.0,763.0,763.0,GasA,4,Y,SBrkr,763,892,0,1655,0.0,0.0,2,1,3,1,3,7,Typ,1,3,Attchd,1993.0,Fin,2.0,440.0,3,3,Y,157,84,0,0,0,0,0,NoFeature,NoFeature,0,4,2010,WD,Normal,175900,17,16,2418.0,2.5,1,1,1
12,527165230,20,RL,64.0,7980,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,NoMasVnr,0.0,3,4,PConc,4,3,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,5,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,Typ,0,0,Attchd,1992.0,Fin,2.0,420.0,3,3,Y,483,21,0,0,0,0,0,GdPrv,Shed,500,3,2010,WD,Normal,185000,18,3,2355.0,3.0,1,1,0
13,527166040,60,RL,63.0,8402,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,3,3,PConc,4,3,No,Unf,0.0,Unf,0.0,789.0,789.0,GasA,4,Y,SBrkr,789,676,0,1465,0.0,0.0,2,1,3,1,3,7,Typ,1,4,Attchd,1998.0,Fin,2.0,393.0,3,3,Y,0,75,0,0,0,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,180400,12,12,2254.0,2.5,1,1,1
14,527180040,20,RL,85.0,10176,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,NoMasVnr,0.0,3,3,PConc,4,3,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,GasA,4,Y,SBrkr,1341,0,0,1341,1.0,0.0,1,1,2,1,4,5,Typ,1,1,Attchd,1990.0,Unf,2.0,506.0,3,3,Y,192,0,0,0,0,0,0,NoFeature,NoFeature,0,2,2010,WD,Normal,171500,20,20,2641.0,2.5,1,1,1
15,527182190,120,RL,60.0,6820,Pave,NoFeature,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,NoMasVnr,0.0,4,3,PConc,4,3,Av,GLQ,368.0,BLQ,1120.0,0.0,1488.0,GasA,3,Y,SBrkr,1502,0,0,1502,1.0,0.0,1,1,1,1,4,4,Typ,0,0,Attchd,1985.0,RFn,2.0,528.0,3,3,Y,0,54,0,0,140,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,212000,25,25,2990.0,2.5,1,1,0
16,527216070,60,RL,47.0,53504,Pave,NoFeature,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,5,3,PConc,4,3,Gd,ALQ,1416.0,Unf,0.0,234.0,1650.0,GasA,5,Y,SBrkr,1690,1589,0,3279,1.0,0.0,3,1,4,1,5,12,Mod,1,4,BuiltIn,2003.0,Fin,3.0,841.0,3,3,Y,503,36,0,0,210,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,538000,7,7,4929.0,4.5,1,1,1
17,527225035,50,RL,152.0,12134,Pave,NoFeature,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,NoMasVnr,0.0,4,3,Wood,4,3,Av,GLQ,427.0,Unf,0.0,132.0,559.0,GasA,4,Y,SBrkr,1080,672,0,1752,0.0,0.0,2,0,4,1,3,8,Typ,0,0,Basment,1988.0,RFn,2.0,492.0,3,3,Y,325,12,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,164000,22,5,2311.0,2.0,1,1,0
18,527258010,20,RL,88.0,11394,Pave,NoFeature,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,4,3,PConc,5,3,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,GasA,5,Y,SBrkr,1856,0,0,1856,1.0,0.0,1,1,1,1,5,8,Typ,1,5,Attchd,2010.0,Fin,3.0,834.0,3,3,Y,113,0,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,New,Partial,394432,0,0,3712.0,2.5,1,1,1
19,527276150,20,RL,140.0,19138,Pave,NoFeature,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,3,3,CBlock,3,3,No,LwQ,120.0,Unf,0.0,744.0,864.0,GasA,5,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,2,1,3,4,Typ,0,0,Detchd,1951.0,Unf,2.0,400.0,3,3,Y,0,0,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,141000,59,59,1728.0,1.0,1,1,0
20,527302110,20,RL,85.0,13175,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,3,3,CBlock,4,3,No,ALQ,790.0,Rec,163.0,589.0,1542.0,GasA,3,Y,SBrkr,2073,0,0,2073,1.0,0.0,2,0,3,1,3,7,Min1,2,3,Attchd,1978.0,Unf,2.0,500.0,3,3,Y,349,0,0,0,0,0,0,MnPrv,NoFeature,0,2,2010,WD,Normal,210000,32,22,3615.0,3.0,1,1,1
21,527358140,20,RL,105.0,11751,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,5,Y,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,Typ,1,3,Attchd,1977.0,RFn,2.0,546.0,3,3,Y,0,122,0,0,0,0,0,MnPrv,NoFeature,0,1,2010,COD,Normal,190000,33,33,3688.0,2.0,1,1,1
22,527358200,85,RL,85.0,10625,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,3,3,CBlock,4,3,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,GasA,3,Y,SBrkr,1173,0,0,1173,1.0,0.0,2,0,3,1,4,6,Typ,2,3,Attchd,1974.0,RFn,2.0,528.0,3,3,Y,0,120,0,0,0,0,0,MnPrv,NoFeature,0,1,2010,WD,Family,170000,36,36,2226.0,3.0,1,1,1
23,527368020,60,FV,72.5,7500,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,4,3,PConc,4,3,No,GLQ,533.0,Unf,0.0,281.0,814.0,GasA,5,Y,SBrkr,814,860,0,1674,1.0,0.0,2,1,3,1,4,7,Typ,0,0,Attchd,2000.0,RFn,2.0,663.0,3,3,Y,0,96,0,0,0,0,0,NoFeature,NoFeature,0,1,2010,WD,Normal,216000,10,10,2488.0,3.5,1,1,0
24,527402200,20,RL,73.0,11241,Pave,NoFeature,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,5,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,3,5,Typ,1,3,Attchd,1970.0,Fin,2.0,480.0,3,3,Y,0,0,0,0,0,0,0,NoFeature,Shed,700,3,2010,WD,Normal,149000,40,40,2008.0,2.0,1,1,1
25,527402250,20,RL,73.0,12537,Pave,NoFeature,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,3,3,CBlock,3,3,No,GLQ,734.0,Unf,0.0,344.0,1078.0,GasA,5,Y,SBrkr,1078,0,0,1078,1.0,0.0,1,1,3,1,3,6,Typ,1,2,Attchd,1971.0,Fin,2.0,500.0,3,3,Y,0,0,0,0,0,0,0,NoFeature,NoFeature,0,4,2010,WD,Normal,149900,39,2,2156.0,2.5,1,1,1
26,527403020,20,RL,65.0,8450,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,NoMasVnr,0.0,3,3,CBlock,3,3,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,5,Y,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,3,6,Typ,1,2,Attchd,1968.0,Unf,1.0,304.0,3,3,Y,0,85,184,0,0,0,0,NoFeature,NoFeature,0,7,2010,WD,Normal,142000,42,42,2112.0,2.0,1,1,1
27,527404120,20,RL,70.0,8400,Pave,NoFeature,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,NoMasVnr,0.0,3,3,CBlock,3,3,No,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,3,Y,SBrkr,882,0,0,882,1.0,0.0,1,0,2,1,3,4,Typ,0,0,Attchd,1970.0,Fin,2.0,525.0,3,3,Y,240,0,0,0,0,0,0,MnPrv,NoFeature,0,4,2010,WD,Normal,126000,40,40,1764.0,2.0,1,1,0
28,527425090,20,RL,70.0,10500,Pave,NoFeature,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,NoMasVnr,0.0,3,3,CBlock,3,3,No,ALQ,432.0,Unf,0.0,432.0,864.0,GasA,3,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,3,5,Typ,1,1,NoFeature,1971.0,NoFeature,0.0,0.0,0,0,Y,0,0,0,0,0,0,0,NoFeature,NoFeature,0,4,2010,ConLI,Normal,115000,39,39,1728.0,1.0,0,1,1
29,527427230,120,RH,26.0,5858,Pave,NoFeature,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,NoMasVnr,0.0,4,3,PConc,4,3,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,5,Y,SBrkr,1337,0,0,1337,1.0,0.0,2,0,2,1,4,5,Typ,1,2,Attchd,1999.0,Fin,2.0,511.0,3,3,Y,203,68,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,184000,11,11,2742.0,3.0,1,1,1
30,527451180,160,RM,21.0,1680,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,3,3,CBlock,3,3,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,3,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3,5,Typ,0,0,Detchd,1971.0,Unf,1.0,264.0,3,3,Y,275,0,0,0,0,0,0,NoFeature,NoFeature,0,2,2010,COD,Normal,96000,39,39,1470.0,1.5,1,1,0
31,527451330,160,RM,21.0,1680,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3,3,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,3,Y,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,Typ,0,0,Detchd,1997.0,Unf,1.0,320.0,3,3,Y,0,0,0,0,0,0,0,NoFeature,NoFeature,0,3,2010,WD,Normal,105500,39,39,1617.0,1.5,1,1,0
32,527451410,160,RM,21.0,1680,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,3,3,CBlock,3,3,No,Unf,0.0,Unf,0.0,525.0,525.0,GasA,3,Y,SBrkr,525,567,0,1092,0.0,0.0,1,1,3,1,3,6,Typ,0,0,Detchd,1971.0,Unf,1.0,264.0,3,3,Y,0,0,0,0,0,0,0,NoFeature,NoFeature,0,3,2010,WD,Family,88000,39,39,1617.0,1.5,1,1,0
33,527452190,120,RL,53.0,4043,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,NoMasVnr,0.0,3,3,CBlock,4,3,No,ALQ,360.0,Unf,0.0,709.0,1069.0,GasA,3,Y,SBrkr,1069,0,0,1069,0.0,0.0,2,0,2,1,3,4,Typ,1,2,Attchd,1977.0,RFn,2.0,440.0,3,3,Y,0,55,0,0,165,0,0,NoFeature,NoFeature,0,7,2010,WD,Normal,127500,33,33,2138.0,2.0,1,1,1
34,527453130,160,RL,24.0,2280,Pave,NoFeature,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,NoMasVnr,0.0,3,3,CBlock,3,3,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,3,Y,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,4,6,Typ,1,3,Attchd,1975.0,Unf,2.0,440.0,3,3,Y,173,0,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,149900,35,35,2311.0,2.5,1,1,1
35,527453150,120,RL,24.0,2280,Pave,NoFeature,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,NoMasVnr,0.0,3,3,CBlock,4,3,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,5,Y,SBrkr,836,0,0,836,0.0,0.0,1,0,2,1,3,4,Typ,0,0,Attchd,1975.0,Unf,1.0,308.0,3,3,Y,0,30,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,120000,35,35,1672.0,1.0,1,1,0
36,527454200,160,RL,24.0,2280,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,NoMasVnr,0.0,3,3,CBlock,4,3,No,ALQ,311.0,Unf,0.0,544.0,855.0,GasA,2,Y,SBrkr,855,601,0,1456,0.0,0.0,2,1,3,1,3,7,Typ,1,3,Attchd,1978.0,Unf,2.0,440.0,3,3,Y,26,0,0,0,0,0,0,NoFeature,NoFeature,0,7,2010,WD,Normal,146000,32,32,2311.0,2.5,1,1,1
37,528108120,60,RL,102.0,12858,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,5,3,PConc,5,3,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,5,Y,SBrkr,1627,707,0,2334,0.0,0.0,2,1,3,1,5,10,Typ,1,4,Attchd,2009.0,Fin,3.0,751.0,3,3,Y,144,133,0,0,0,0,0,NoFeature,NoFeature,0,1,2010,New,Partial,376162,1,0,3924.0,2.5,1,1,1
38,528112020,20,RL,98.0,11478,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,5,Y,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,4,7,Typ,1,4,Attchd,2008.0,RFn,3.0,772.0,3,3,Y,0,50,0,0,0,0,0,NoFeature,NoFeature,0,5,2010,WD,Normal,306000,3,2,3408.0,3.0,1,1,1
39,528120060,20,RL,83.0,10159,Pave,NoFeature,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,5,3,PConc,5,3,Av,GLQ,1646.0,Unf,0.0,284.0,1930.0,GasA,5,Y,SBrkr,1940,0,0,1940,1.0,0.0,2,1,3,1,5,8,Typ,1,4,Attchd,2010.0,Fin,3.0,606.0,3,3,Y,168,95,0,0,0,0,0,NoFeature,NoFeature,0,4,2010,New,Partial,395192,1,0,3870.0,3.5,1,1,1
40,528120090,20,RL,94.0,12883,Pave,NoFeature,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,4,3,PConc,4,3,No,Unf,0.0,Unf,0.0,1544.0,1544.0,GasA,5,Y,SBrkr,1544,0,0,1544,0.0,0.0,2,0,3,1,4,7,Typ,0,0,Attchd,2009.0,RFn,3.0,868.0,3,3,Y,0,35,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,New,Partial,290941,1,0,3088.0,2.0,1,1,0
41,528120100,20,RL,95.0,12182,Pave,NoFeature,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,4,3,PConc,4,3,Mn,BLQ,1201.0,Unf,0.0,340.0,1541.0,GasA,5,Y,SBrkr,1541,0,0,1541,0.0,0.0,2,0,3,1,4,7,Typ,1,4,Attchd,2005.0,RFn,2.0,532.0,3,3,Y,0,70,0,0,0,0,0,NoFeature,NoFeature,0,5,2010,New,Partial,220000,5,5,3082.0,2.0,1,1,1
42,528120120,20,RL,90.0,11520,Pave,NoFeature,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615.0,4,3,PConc,5,3,No,GLQ,110.0,Unf,0.0,1588.0,1698.0,GasA,5,Y,SBrkr,1698,0,0,1698,0.0,0.0,2,0,3,1,5,7,Typ,1,4,Attchd,2005.0,Fin,3.0,730.0,3,3,Y,192,74,0,0,0,0,0,NoFeature,NoFeature,0,6,2010,WD,Normal,275000,5,5,3396.0,2.0,1,1,1
